md5,title,author
c47ad0b17e9700c175511d9af14aa81d,"Getting Your Child Back to School: A Parent's Guide to Solving School Attendance Problems, Revised and Updated Edition",Christopher A Kearney
782ae15cdb8abd84d12ce6085491d072,"The Supremes' Greatest Hits, 2nd Revised & Updated Edition",Michael G. Trachtman
4fc50bf9d5025f322feddb8bdb8bdff5,F**k It (Revised and Updated Edition): The Ultimate Spiritual Way,John C. Parkin
ade9d18f8c38dee95ba0adbf6a50e366,"Computer Security Fundamentals, 5th Edition",Chuck Easttom
d6935b45d6d076b4a467ffd617a0d5b3,"The Essential Guide to Workplace Investigations: A Step-By-Step Guide to Handling Employee Complaints & Problems, 6th Edition",Lisa Guerin
4ec82760b6942f8364fe77e1e5b5ac0c,William Shakespeare Complete Works (Second Edition) Royal Shakespeare Company,"William Shakespeare, Jonathan Bate, Eric Rasmussen"
9d38177228649c435287b859fec2f86d,Invasion of the Prostate Snatchers: Revised and Updated Edition: An Essential Guide to Managing Prostate Cancer for Patients and Their Families,"Mark Scholz, Ralph H. Blum"
5e0130c69ed59c91a2b21e0645ec3d50,Montenegro (Bradt Guide). Sixth Edition,"Norm Longley, Annalisa Rellie"
9bb2cf5ff880e7fbd35771b57d48c670,"Modern Parents, Vintage Values, Revised and Updated: Instilling Character in Today's Kids","Sissy Goff, Melissa Trevathan"
47d16b1f6d4154622bc86171054322b1,The 12 Week Triathlete-Revised and Updated,Tom Holland
7dfb9e89abc64fed81f8d815fe009a9c,Dragonfly Genera of the New World: An Illustrated and Annotated Key to the Anisoptera,Rosser W. Garrison
9caf9480c72a2ad49280106dc8b535c0,"Cabins  Cottages, Revised  Expanded Edition: The Basics of Building a Getaway Retreat for Hunting, Camping, and Rustic Living",Skills Institute Press
adc25504a6c973442fb9fce8df5a1c98,"Clockwork, Revised and Expanded Design Your Business to Run Itself",Mike Michalowicz
953a5301d6825a5bb50d7c0e33692a33,"Fundamentals of Project Management, Sixth Edition",Joseph Heagney
e2608aafd1a840afa65b29638a8c72b0,"Conspiracies and Secret Societies: The Complete Dossier of Hidden Plots and Schemes, 3rd Edition",Brad Steiger
9c6e70bf10966f681acf875d30470ee3,"Residential Construction Performance Guidelines, Contractor Reference, Sixth Edition",N. National Association of Home Builders
669d534324773d8c3802a1169b0ecc7e,"CEH Certified Ethical Hacker Bundle, 5th Edition","Walker, Matt;"
711cf2c7c4aafdd6bc82318885fc5ba7,"Launch (Updated & Expanded Edition): How to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams",Jeff Walker
3483597cca0964d76a15849e092a4890,Edgar Allan Poe: Complete Tales & Poems (Illustrated and Annotated) (Top Five Classics 13),Edgar Allan Poe
0146aae6d1e6a712f321b8aa1c260a5c,"The Tao of Twitter, Revised and Expanded New Edition",Mark Schaefer
e1586208b53ba71500b3fb0a2dd1acdb,"The New Annotated Sherlock Holmes 2: The Complete Short Stories: The Return of Sherlock Holmes, His Last Bow and The Case-Book of Sherlock Holmes",Arthur Conan Doyle
e663aa75cb3eaadc05eba4b4bd659a5d,Wild at Heart Revised & Updated: Discovering The Secret of a Man's Soul,John Eldredge
